cenario,hora,fator_carga,vento_m_s,v_min_pu,v_max_pu,trafo_carreg_pct,perdas_MW,i_ka,carregamento_pct,theta_ambiente_C,delta_theta_K,theta_hotspot_C,theta_so_carga_C,theta_so_ambiente_C,causa_dominante,alarme_temperatura
DIA TIPICO,0,0.62,1.2,0.94456064084892,1.02,38.30983252249801,0.2509720312848014,0.0400691886536599,6.678198108943318,24.5,0.8557920226970824,25.35579202269708,40.85579202269708,89.5,NORMAL,False
DIA TIPICO,1,0.58,1.1,0.9499222068987586,1.02,35.727277612880975,0.2200204192166635,0.037368031443326094,6.228005240554349,24.2,0.7653704798417033,24.965370479841702,40.76537047984171,89.2,NORMAL,False
DIA TIPICO,2,0.55,1.0,0.9538980750619993,1.02,33.80255783627174,0.19848430513176796,0.03535492005793431,5.8924866763223855,24.0,0.7004725668844803,24.700472566884482,40.70047256688448,89.0,NORMAL,False
DIA TIPICO,3,0.54,1.0,0.9552149379128886,1.02,33.163254795419064,0.19161790469571827,0.0346862574064468,5.781042901074467,23.8,0.6793964359873617,24.47939643598736,40.679396435987364,88.8,NORMAL,False
DIA TIPICO,4,0.55,1.1,0.9538980750619993,1.02,33.80255783627174,0.19848430513176796,0.03535492005793431,5.8924866763223855,23.7,0.7004725668844803,24.40047256688448,40.70047256688448,88.7,NORMAL,False
DIA TIPICO,5,0.6,1.2,0.9472501836059087,1.02,37.01619814206082,0.23517205519185325,0.038716144881508194,6.4526908135847,23.9,0.8100255659239041,24.710025565923903,40.8100255659239,88.9,NORMAL,False
DIA TIPICO,6,0.68,1.4,0.9363836159753002,1.02,42.21987050753978,0.3023788583555449,0.04415879283144904,7.359798805241506,24.5,0.9997671532241619,25.499767153224163,40.99976715322416,89.5,NORMAL,False
DIA TIPICO,7,0.78,1.7,0.9223725922899388,1.02,48.83924101331005,0.4021735590210236,0.05108215414911278,8.513692358185464,25.8,1.2621241631516666,27.06212416315167,41.26212416315167,90.8,NORMAL,False
DIA TIPICO,8,0.85,2.0,0.912257768247714,1.02,53.55495197611933,0.48333155601201216,0.0560144310504533,9.335738508408884,27.5,1.4626864648587166,28.962686464858717,41.46268646485872,92.5,NORMAL,False
DIA TIPICO,9,0.88,2.3,0.9078399228887133,1.02,55.59809703629415,0.5211592959257025,0.0581514063230713,9.691901053845218,29.2,1.5529866105648311,30.75298661056483,41.55298661056483,94.2,NORMAL,False
